titles,category
"美 하원, 이란전 중단 결의안 통과…'상징적 조치'",World
"전 세계 인쇄회로기판 60%가 중국산…美 ""심각한 안보 위기""",World
"“우크라 전쟁, 왜 푸틴 결심만으로 끝낼 수 없나”-포린어페어즈",World
"美 '휴전' 발표 하루 만에…이스라엘 국방 ""레바논 지상전 지속""",World
"우크라, 러 페테르부르크 공습…푸틴 연설 앞둔 국제경제포럼 겨냥",World
"美 유럽 사령관, 나토 동맹에 “전투기·무인기·군함 공백 스스로 메워라”",World
“동남아인데 열흘 넘게 비가 안와요”…역대급 엘니뇨 전망에 ‘식량 위기’ 경고등,World
오세훈 역전에 '2억 4천 돈벼락' 무슨 일? [포크뉴스],World
"[올댓차이나] 美 FCC, 중국산 장비 해저통신 케이블서 배제 추진",World
"[영상] 스웨덴 사브, 브라질 공군에 '2인승' 그리펜 F 첫 인도",World
"美국무 ""검열로 톈안먼사태 지울 수 없다""…中 ""내정간섭""(종합)",World
“중국은 들켰고 러시아는 쐈다”…미 항모 압박하는 괴물 잠수함들 [밀리터리+],World
"젤렌스키 ""푸틴과 직접 협상할 준비돼…美 관심 온통 이란에""",World
"日증시, AI주 차익 실현에 하락 마감…닛케이지수 1.36%↓",World
이스라엘·레바논 휴전 합의로 일단 ‘급한 불’ 끈 미·이란···쿠웨이트 공습 등 불씨 여전,World
호르무즈 봉쇄 여파...美 원유재고 22년 만에 최저,World
"이란, 쿠웨이트 공습 정당화…""미국에 시설 제공""",World
"트럼프 ""이번 주말에라도 합의 가능""…협상 낙관",World
"1,100km 날아온 드론 '쾅'..러시아 제2도시 '대혼란'",World
모건스탠리 “메모리 병목…PC·스마트폰으로 ‘칩플레이션’ 야기”,World
[포착] 중국판 알박기?…中·필리핀 영유권 분쟁 암초서 정체불명 구조물 발견,World
"美 테라파워 CEO “AI로 급증한 전력수요, SMR이 최적의 미래”",World
스페이스X 공모가 주당 135달러... 머스크는 세계 최초 '조만장자'로,World
美하원 '이란전쟁 중단' 결의안에 공화당서 이탈표…수세 몰린 트럼프,World
"역사상 최대 IPO 스페이스X, 공모가 135달러 확정…한국 개인은 왜 못 사나",World
"'메모리 기존 사이클 벗어나' 모건스탠리 ""칩플레이션 번진다""",World
휴전 후에도 가자 군사기지 늘린 이스라엘…위성사진에 40곳 포착,World
"'트럼프 변호사' 블랜치 대행, 정식 법무장관 낙점…충성 인정한듯",World
[월드 이슈] “하원을 지켜라”…선거판 흔드는 트럼프,World
"우크라, ‘러시아판 다보스포럼’ 개막 앞두고 상트페테르부르크 공습",World
미·이란 휴전 중 ‘최대 충돌’…쿠웨이트서 1명 사망∙63명 부상,World
이란 전쟁 처음으로 막아선 美 의회...공화당도 4명 합류,World
"美국무장관, 트럼프 '조는 모습' 놓고 의원과 설전…""본 적 없어""",World
화성의 과거 추적한 11년… NASA ‘메이븐’ 임무 공식 종료,World
"라트비아군 참모총장 ""러, 2028년 말까지 발트3국 침공 가능성""",World
美 원유재고 22년 만에 최저…중동 공급 공백 메우다 고갈,World
‘미래 원전’ SMR 짓는 빌 게이츠…SK 등 韓기업이 ‘날개’ 달았다[르포],World
"트럼프와 불화설에 네타냐후 ""전술적 의견차"", 트럼프도 일축",World
AI 전력난 시대···한국 기업 참여로 지어지는 미국 최초 ‘4세대 SMR’ 현장 가보니,World
"외신 ""서울시장 패배, 與 승리에 찬물""(종합)",World
"中 해경, 대만 동쪽해역서 첫 단독 순찰…일본·필리핀 EEZ 협상 빌미",World
"""치료제도 백신도 없는데 벌써 220명 사망""…'비상사태 선포'에 CEPI 나섰다",World
"브로드컴 ""내년 AI칩 연매출 목표 유지""…주가는 14% 급락(종합)",World
AI열풍에 더 부유해진 세계 부자들…자산 98조달러 돌파,World
"최고 티켓 3억4000만원, 가장 싼 티켓 611만원…27년 만의 NBA 파이널에 뉴욕이 들썩인다",World
"""더운데 물도 못 들고 간다고?""…폭염 속 월드컵 경기장 '물병' 반입 금지에 '시끌'",World
"‘푸틴 고향’ 때린 우크라, 러시아는 “공격당하면 핵무기로 대응”",World
"초유의 투표용지 부족사태…美 법원 개입, 獨 재선거 등 후폭풍 컸다",World
"균열 드러낸 美·대만, 6·4 톈안먼 사건 놓고선 ‘한목소리’",World
이란 “모든 공격엔 미사일·드론 보복”…쿠웨이트 공습 정당화,World
"공화당서도 반란표… 美 하원, 트럼프 이란전 독주에 ‘전쟁권한 제한’ 제동",World
이란戰 레드라인 제시한 트럼프…“미군 사망자 없는 한 전면전 없다”[1일1트],World
"21명 사망한 인도 호텔 참사...""밀폐된 호텔 '굴뚝'처럼 작용했다""",World
‘막판 변수’ 이스라엘·레바논 휴전…트럼프 “주말 종전 합의 가능”,World
"트럼프, 이란 전면전 꺼려...美 전사자 안 늘면 휴전 유지",World
"이러지도, 저러지도…진퇴양난? ""트럼프 '미군 사망하면 전면전' 언급""",World
"""마취총 쐈는데도 끄떡없다""…후쿠시마 제철소 곰 공격에 4명 부상",World
'AI 실탄' 더 늘리는 알파벳…유상증자 123조 원→130조 원,World
"""UFO는 마귀 장난""…악마 쫓던 신부의 주장",World
"의회선 '전쟁권 제한' 족쇄, 트럼프는 ""주말 종전 합의"" 마이웨이",World
AI 시대 전력 공급 첨병 미 와이오밍 소형모듈원전(SMR) 건설 현장을 가다,World
휴전에도 불씨 여전...종전 협상의 뇌관 '레바논',World
"“북한·중국 훤히 보이네”…한국 상공에 美 최신예 정찰기 등장, 정체는? [밀리터리+]",World
부(富)는 어디로 흘러갈까…올해 ‘세계 자산 흐름’ 세가지 축은?,World
"[르포]美 최초 SMR, 韓의 손길로...“여기가 미래 에너지 탄생지”",World
"필리핀, 남중국해 암초에서 새 구조물 발견…조사 착수",World
"""트럼프 '이란과 휴전, 미군 전사시 종료''""…현 상황 장기화될듯(종합)",World
"美뱅가드 S&P500 ETF, 업계 첫 1조 달러…""초대형 IPO 앞두고 몸집 불려""",World
AI발 전력난에 탄광촌 부활 아이러니… 첨단 원전 짓는 美와이오밍 가보니 [르포],World
"美가 40년 만에 허가한 미래 원전… “AI 시대 전력난, 답은 SMR에 있다”",World
"[인터뷰] 美테라파워 CEO ""韓 대미투자 프로젝트에 SMR 포함 기대""",World
